Representative_Sequence	total	A23.C0	CreativEruC00	CreativEruC02	CreativEruC03	CreativEruC06	CreativEruC08	CreativEruC10	CreativEruC12	CreativEruC14	CreativEruC16	CreativEruC19	CreativEruC21	CreativEruC23	CreativEruC25	CreativEruC27	CreativEruC29	CreativEruC31	CreativEru_A01	CreativEru_A07	CreativEru_A09	CreativEru_A10	CreativEru_A13	CreativEru_A18	CreativEru_Y04	CreativEru_Y07	CreativEru_Y10	CreativEru_Y13	CreativEru_Y16	CreativEru_Y19	CreativEru_Y23	Y27.CN2	
HUDK80S01A9DOD	4352	440	29	898	438	174	189	148	147	85	170	55	157	68	136	200	238	160	4	14	86	138	58	156	0	15	19	0	0	22	72	36	
HUDK80S01BI9DS	251	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	0	0	0	
HUDK80S01B6YSZ	1043	211	314	110	17	21	3	1	4	0	4	0	0	0	0	16	3	0	0	0	53	70	76	23	0	0	0	2	22	72	4	17	
HUDK80S01BZBKP	334	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	73	0	0	0	1	0	1	2	25	
HUDK80S01A9FOI	145	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	4	0	0	20	
HUDK80S01B8SZG	63	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	
HUDK80S01B85D5	210	136	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	5	4	21	6	1	6	0	0	4	3	8	9	
HUDK80S01ATVAH	101	99	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
HUDK80S01A6SB1	1198	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	969	11	0	0	1	0	10	9	8	41	
HUDK80S01CERSE	118	95	0	0	2	0	0	0	0	2	1	0	1	1	0	11	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	
HUDK80S01B6JOM	114	97	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	2	1	0	0	0	0	3	0	3	0	1	
HUDK80S01AHFES	94	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
HUDK80S01A6C90	73	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01BJLIS	257	79	0	3	0	7	7	0	7	0	0	1	0	0	4	0	1	4	3	1	2	0	14	14	5	36	0	0	2	5	27	35	
HUDK80S01BONNV	126	72	0	5	5	10	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	1	0	0	14	0	10	
HUDK80S01BS0LE	1592	97	0	2	3	7	10	2	4	7	0	0	0	1	0	1	1	0	1	0	2	0	41	1	25	1015	80	33	45	100	93	21	
HUDK80S01BJRW2	66	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
HUDK80S01BMRKN	122	68	0	26	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	4	0	8	0	0	0	0	0	0	2	
HUDK80S01BPG74	381	76	3	49	59	10	17	19	4	14	8	5	5	5	2	8	13	9	7	0	0	0	0	20	8	8	5	1	1	1	2	22	
HUDK80S01BYZFI	161	80	0	0	0	0	0	2	1	1	2	2	4	0	0	3	16	10	0	0	2	0	1	0	0	0	1	0	0	3	0	33	
HUDK80S01BAIR4	404	52	15	40	88	23	0	0	1	0	1	0	0	0	0	0	0	0	27	2	17	1	15	115	4	0	0	0	0	1	2	0	
HUDK80S01BH1LS	85	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	8	1	9	
HUDK80S01B36DI	66	58	6	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01BUQ64	740	76	4	5	10	1	3	0	1	0	4	0	0	4	0	0	0	5	33	6	18	3	182	175	47	35	17	4	6	32	66	3	
HUDK80S01BATXP	63	37	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	2	0	0	5	0	2	10	
HUDK80S01BZHXN	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01BH1PB	93	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	
HUDK80S01BOYC3	38	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
HUDK80S01A56FF	28	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01BIPTM	141	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	39	3	75	
HUDK80S01B8M77	36	19	0	0	6	0	1	3	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	
HUDK80S01BSQKZ	40	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01BQ6S4	1057	60	0	8	3	5	2	0	6	4	0	0	2	7	0	2	5	0	1	7	29	12	368	372	12	55	16	7	12	7	55	0	
HUDK80S01BD5M3	405	31	13	9	92	27	4	2	7	8	1	0	0	2	3	5	2	0	1	53	45	15	3	24	3	41	13	0	0	0	0	1	
HUDK80S01B178S	47	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01BJSBL	93	23	0	1	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	52	0	6	
HUDK80S01AO80D	32	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01BVZWP	139	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	76	22	0	3	0	0	0	0	0	9	
HUDK80S01BL8KK	617	41	2	80	129	79	69	27	32	19	24	14	11	16	15	18	12	5	0	0	1	0	15	3	0	2	0	0	1	0	1	1	
HUDK80S01CCEGE	41	29	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	
HUDK80S01AZFDG	63	25	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	7	1	0	0	27	0	0	0	0	0	0	0	0	
HUDK80S01A0AUD	56	18	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	2	29	0	2	1	0	0	0	0	0	
HUDK80S01BGMKY	98	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	6	7	
HUDK80S01CCYEF	24	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
HUDK80S01A9CQ5	121	28	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	6	6	25	20	6	12	0	0	0	1	14	0	
HUDK80S01BHE1A	32	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	
HUDK80S01BDSYY	209	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	42	0	89	20	1	3	12	2	9	
HUDK80S01ASB94	1621	34	38	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	219	683	450	176	0	0	5	0	1	4	1	0	
HUDK80S01BCD8P	32	29	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
HUDK80S01BLVPA	57	26	0	0	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	9	0	5	1	0	0	0	1	7	
HUDK80S01A5S9W	70	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	11	12	0	0	0	0	0	0	0	1	
HUDK80S01BS9B1	13	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01BB1SA	50	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	22	0	0	0	0	0	0	0	0	
HUDK80S01A6GU7	93	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	70	0	0	0	0	0	0	0	1	
HUDK80S01BJF22	5420	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	126	1929	1988	1290	44	0	0	1	7	3	10	1	0	
HUDK80S01AVTNP	36	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	
HUDK80S01B6YG7	16	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
HUDK80S01BR07G	156	11	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	9	49	0	0	4	6	70	
HUDK80S01B0AHC	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01B6YLG	13	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
HUDK80S01AWPM1	53	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	1	28	0	0	0	0	0	0	2	0	
HUDK80S01A1SWD	22	14	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
HUDK80S01A6FSJ	1388	11	0	3	33	15	3	0	3	1	1	0	0	0	0	1	1	0	2	1	0	0	4	0	72	585	73	45	49	131	284	70	
HUDK80S01ARUMF	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01AU7KG	77	31	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	0	0	0	0	2	8	3	10	
HUDK80S01CCL0S	13	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	
HUDK80S01ANQWT	19	15	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
HUDK80S01BNM6Y	35	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	12	7	0	0	0	0	0	0	0	0	
HUDK80S01CFBRD	20	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01BE8KB	433	27	12	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	35	39	19	154	119	0	9	0	0	0	0	5	0	
HUDK80S01AXG8X	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01CEFPR	41	8	0	0	0	6	0	0	0	0	5	0	0	5	0	0	0	9	0	0	2	0	0	4	0	0	2	0	0	0	0	0	
HUDK80S01A1SGH	13	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01A8HO7	184	22	16	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	48	29	35	0	0	1	1	2	5	0	0	
HUDK80S01AZQ57	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01CBAD3	27	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	
HUDK80S01A8508	24	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01B4LAH	31	29	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
