Representative_Sequence	total	A23.C0	CreativEruC00	CreativEruC02	CreativEruC03	CreativEruC06	CreativEruC08	CreativEruC10	CreativEruC12	CreativEruC14	CreativEruC16	CreativEruC19	CreativEruC21	CreativEruC23	CreativEruC25	CreativEruC27	CreativEruC29	CreativEruC31	CreativEru_A01	CreativEru_A07	CreativEru_A09	CreativEru_A10	CreativEru_A13	CreativEru_A18	CreativEru_Y04	CreativEru_Y07	CreativEru_Y10	CreativEru_Y13	CreativEru_Y16	CreativEru_Y19	CreativEru_Y23	Y27.CN2	
Mpick1	34	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick2	172	94	0	10	12	10	3	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	4	0	0	16	0	11
Mpick3	34	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick4	38	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	11	0	0	0	1	0	0	0	1
Mpick5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0
Mpick6	106	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	5	0	0	1	0	0	8	3	11
Mpick7	150	31	0	0	8	0	9	2	6	7	2	0	6	3	12	2	10	2	0	0	0	0	0	0	9	20	3	1	8	6	3	0
Mpick8	284	157	0	0	4	9	5	2	1	2	6	2	4	0	0	3	17	10	0	0	2	0	1	1	0	0	4	1	4	3	0	46
Mpick9	54	7	9	22	4	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
Mpick10	15	0	6	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Mpick11	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Mpick12	214	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0
Mpick13	83	9	0	0	2	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	56	8	0	0
Mpick14	98	80	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick15	278	27	0	6	12	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	204	3	16
Mpick16	541	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	39	26	49	366	0	6	7	2	6	12	5	0
Mpick17	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick18	99	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
Mpick19	61	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick20	284	70	6	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	142	3	0	0	11	1	3	1	0	0	10	17	11	0
Mpick21	58	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	1	17	5	0
Mpick22	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick23	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick24	15	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Mpick25	58	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Mpick26	279	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	80	138	4	36	0	0	0	0	0	2	0	5
Mpick27	90	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0
Mpick28	170	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	42	25	27	26	0	0	0	0	0	0	3	3
Mpick29	46	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	32
Mpick30	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick31	158	65	0	4	6	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	9	14
Mpick32	153	78	0	26	4	2	0	0	0	1	0	0	0	0	0	0	0	0	0	6	11	2	6	0	12	0	0	0	0	0	3	2
Mpick33	36	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick34	19	6	2	2	2	1	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick35	32	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	24	0	0	0	0	0	0
Mpick36	18	2	1	0	0	0	0	0	0	0	3	0	3	0	1	0	1	0	5	1	0	0	0	0	1	0	0	0	0	0	0	0
Mpick37	25	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	15	0	0	0	0	0	0	0	0	0
Mpick38	63	54	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Mpick39	63	34	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	1	0	0	0	5	6	7	3
Mpick40	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	15	29	0	0	0	0	0	0	0	0
Mpick41	15	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	1	1
Mpick42	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
